scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
heterogeneity_current_perm_2,13,heterogeneity,health_greedy,273.0,26.0,25,25
heterogeneity_current_perm_2,14,heterogeneity,health_greedy,245.0,50.0,26,26
heterogeneity_current_perm_2,15,heterogeneity,health_greedy,219.0,-10.0,27,27
heterogeneity_current_perm_2,16,heterogeneity,health_greedy,249.0,0.0,21,21
heterogeneity_current_perm_2,17,heterogeneity,health_greedy,282.0,-10.0,18,18
heterogeneity_current_perm_2,18,heterogeneity,health_greedy,323.0,-8.0,18,18
heterogeneity_current_perm_2,19,heterogeneity,health_greedy,319.0,18.0,19,19
heterogeneity_current_perm_3,0,heterogeneity,health_greedy,365.0,-15.0,19,19
heterogeneity_current_perm_3,1,heterogeneity,health_greedy,251.0,6.0,26,26
heterogeneity_current_perm_3,2,heterogeneity,health_greedy,351.0,-1.0,20,20
heterogeneity_current_perm_3,3,heterogeneity,health_greedy,472.0,-16.0,24,24
heterogeneity_current_perm_3,4,heterogeneity,health_greedy,319.0,13.0,25,25
heterogeneity_current_perm_3,5,heterogeneity,health_greedy,392.0,-11.0,24,24
heterogeneity_current_perm_3,6,heterogeneity,health_greedy,352.0,-5.0,23,23
heterogeneity_current_perm_3,7,heterogeneity,health_greedy,307.0,47.0,20,20
heterogeneity_current_perm_3,8,heterogeneity,health_greedy,277.0,-33.0,18,18
heterogeneity_current_perm_3,9,heterogeneity,health_greedy,375.0,0.0,25,25
heterogeneity_current_perm_3,10,heterogeneity,health_greedy,340.0,-4.0,22,22
heterogeneity_current_perm_3,11,heterogeneity,health_greedy,389.0,-19.0,23,23
heterogeneity_current_perm_3,12,heterogeneity,health_greedy,344.0,0.0,24,24
heterogeneity_current_perm_3,13,heterogeneity,health_greedy,371.0,0.0,26,26
heterogeneity_current_perm_3,14,heterogeneity,health_greedy,341.0,-2.0,25,25
heterogeneity_current_perm_3,15,heterogeneity,health_greedy,336.0,-1.0,27,27
heterogeneity_current_perm_3,16,heterogeneity,health_greedy,315.0,23.0,23,23
heterogeneity_current_perm_3,17,heterogeneity,health_greedy,329.0,0.0,24,24
heterogeneity_current_perm_3,18,heterogeneity,health_greedy,314.0,-18.0,19,19
heterogeneity_current_perm_3,19,heterogeneity,health_greedy,372.0,11.0,19,19
heterogeneity_current_perm_4,0,heterogeneity,health_greedy,340.0,9.0,22,22
heterogeneity_current_perm_4,1,heterogeneity,health_greedy,134.0,61.0,23,23
heterogeneity_current_perm_4,2,heterogeneity,health_greedy,222.0,85.0,19,19
heterogeneity_current_perm_4,3,heterogeneity,health_greedy,434.0,6.0,27,27
heterogeneity_current_perm_4,4,heterogeneity,health_greedy,221.0,19.0,22,22
heterogeneity_current_perm_4,5,heterogeneity,health_greedy,332.0,6.0,28,28
heterogeneity_current_perm_4,6,heterogeneity,health_greedy,307.0,-2.0,24,24
heterogeneity_current_perm_4,7,heterogeneity,health_greedy,185.0,19.0,22,22
heterogeneity_current_perm_4,8,heterogeneity,health_greedy,287.0,-13.0,20,20
heterogeneity_current_perm_4,9,heterogeneity,health_greedy,316.0,-8.0,25,25
heterogeneity_current_perm_4,10,heterogeneity,health_greedy,318.0,34.0,19,19
heterogeneity_current_perm_4,11,heterogeneity,health_greedy,306.0,6.0,29,29
heterogeneity_current_perm_4,12,heterogeneity,health_greedy,262.0,-15.0,22,22
heterogeneity_current_perm_4,13,heterogeneity,health_greedy,242.0,33.0,22,22
heterogeneity_current_perm_4,14,heterogeneity,health_greedy,203.0,96.0,22,22
heterogeneity_current_perm_4,15,heterogeneity,health_greedy,190.0,-1.0,26,26
