policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
fixed_pair,True,True,697.0,934.0,237.0,23.68004211005092,2.5346208800588634,934.0,27.69597258658142,0.3901350157271555,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,697.0,934.0,8.975985067105514,9.36612008283267,9.353867436643236,2025-06,19,19
order_blend_50,True,True,697.0,934.0,237.0,23.68004211005092,2.5346208800588634,934.0,27.69597258658142,0.3901350157271555,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,697.0,934.0,8.975985067105514,9.36612008283267,9.353867436643236,2025-06,19,19
expected_n_plus_one,True,True,226.0,933.0,707.0,15.988911181463404,6.465577380641844,933.0,27.682169116326712,0.3872601078359992,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,933.0,226.0,8.969378467105514,9.356152074279686,9.356638574941513,2025-06,19,19
fixed_pair,True,True,898.0,1175.0,277.0,24.317558737724116,1.8767585755138558,1175.0,28.06983581336879,0.003912766943479085,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1175.0,898.0,1175.0,9.354987901014274,9.355947244396763,9.358900667957753,2025-07,0,1000
order_blend_50,True,True,1147.0,1171.0,24.0,27.760728537740658,0.1726743803095836,1171.0,28.03330303629568,0.032509721711420525,7,5,"(np.int64(0), np.int64(2), np.int64(1))",1147.0,,1171.0,9.356361778557867,9.323852056846446,9.353089200891368,2025-07,0,1000
expected_n_plus_one,True,True,216.0,1170.0,954.0,15.395405153109907,7.077295095101448,1170.0,28.001276219192384,0.08578576075958821,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1170.0,216.0,9.279958657234978,9.355573143962841,9.365744417994566,2025-07,0,1000
fixed_pair,True,True,767.0,1052.0,285.0,22.18001750924227,4.019216378977847,1052.0,25.91967653465941,2.153825708016263,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,767.0,1052.0,7.2045798238715735,9.358405531887836,9.3566911789,2025-07,1,1001
order_blend_50,True,True,767.0,1052.0,285.0,22.18001750924227,4.019216378977847,1052.0,25.91967653465941,2.153825708016263,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,767.0,1052.0,7.2045798238715735,9.358405531887836,9.3566911789,2025-07,1,1001
expected_n_plus_one,True,True,235.0,1078.0,843.0,15.770537316947037,6.931816757679169,1078.0,26.192075607798678,2.1263219224284686,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1078.0,235.0,7.354249408773523,9.357254867823164,9.480571331201991,2025-07,1,1001
fixed_pair,True,True,882.0,1196.0,314.0,23.30552043660805,2.890470115420248,1196.0,27.177713241940964,0.8923135873079708,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,882.0,1196.0,8.464470276483956,9.356783863791927,9.35645910166508,2025-07,2,1002
