strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1144.918890535153,65.67426040510246,45.679996721621514,8,5,3,8,0.03222222222222222,0.9677777777777777,0.0,0.0,1145.8719945077007,0.02312789997085929,2029,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1144.1419471292497,65.62969376900173,45.71101627502889,8,5,3,8,0.08555555555555555,0.9144444444444444,0.0,0.0,1145.0950511017975,0.029571000020951033,2029,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1147.039080623328,65.79587768044851,45.59556169415546,2,2,0,2,0.03888888888888889,0.9611111111111111,0.0,0.0,1147.5156326096019,0.020173300057649612,2029,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1145.2182618045717,65.6914327889876,45.668055523107896,2,2,0,2,0.016666666666666666,0.9833333333333333,0.0,0.0,1145.6948137908457,0.022713700076565146,2029,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1145.0361799226962,65.6809882998415,45.67531758664532,2,2,0,2,0.014444444444444444,0.9855555555555555,0.0,0.0,1145.5127319089702,0.030144699849188328,2029,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1147.039080623328,65.79587768044851,45.59556169415546,2,2,0,2,0.03888888888888889,0.9611111111111111,0.0,0.0,1147.9921845958756,0.019930799957364798,2029,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1145.491384627385,65.70709952270673,45.65716675658877,2,2,0,2,0.02,0.98,0.0,0.0,1146.4444885999328,0.023921499960124493,2029,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1145.0361799226962,65.6809882998415,45.67531758664532,2,2,0,2,0.014444444444444444,0.9855555555555555,0.0,0.0,1145.989283895244,0.03116389992646873,2029,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1069.965470090209,64.66380887821249,46.393802840321044,16,9,7,16,0.17,0.83,0.0,0.0,1069.965470090209,0.020914899883791804,2030,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1069.965470090209,64.66380887821249,46.393802840321044,16,9,7,16,0.17,0.83,0.0,0.0,1069.965470090209,0.02241990016773343,2030,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,1069.965470090209,64.66380887821249,46.393802840321044,16,9,7,16,0.17,0.83,0.0,0.0,1069.965470090209,0.030289300018921494,2030,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1072.0253903016826,64.7883010142511,46.30465613444782,2,2,0,2,0.01,0.99,0.0,0.0,1072.144528298251,0.020316199865192175,2030,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1070.764829126131,64.71211847452084,46.35916843274393,16,9,7,16,0.10777777777777778,0.8922222222222222,0.0,0.0,1071.7179330986787,0.02310099988244474,2030,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1069.965470090209,64.66380887821249,46.393802840321044,16,9,7,16,0.17,0.83,0.0,0.0,1070.9185740627568,0.03071349998936057,2030,development,0.5
