strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,load_event_count,unique_demand_count
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1034.8789160730425,65.07973573141402,46.09729843374118,12,7,5,12,0.11555555555555555,0.8844444444444445,0.0,0.0,1036.3085720318643,0.0231844000518322,2033,development,55,55
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1033.3837908335286,64.98571279408125,46.1639931457863,12,7,5,12,0.20444444444444446,0.7955555555555556,0.0,0.0,1034.8134467923503,0.03025010018609464,2033,development,55,55
average,900,1.0,0.1191379965684705,1.0,2.0,1010.1298318373941,64.85457688668838,46.257336706420794,2,2,0,1,0.0,1.0,0.0,0.0,1010.3681078305311,0.06696269987151027,2034,development,59,59
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1197.498749524867,76.8844481916811,39.01959460671004,32,17,15,32,0.5822222222222222,0.4177777777777778,0.0,0.0,1201.311165415058,0.06937800021842122,2034,development,59,59
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1005.9625220962424,64.58701810216405,46.448962781570145,26,14,12,26,0.2311111111111111,0.7688888888888888,0.0,0.0,1009.0601100070227,0.020206499844789505,2034,development,59,59
sticky,900,1.0,0.1191379965684705,1.0,2.0,1009.318256510267,64.80247034276346,46.29453142961893,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1009.556532503404,0.01863440009765327,2034,development,59,59
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1009.318256510267,64.80247034276346,46.29453142961893,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1009.556532503404,0.020778300007805228,2034,development,59,59
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1008.6201982350992,64.75765207024902,46.32657151846114,8,5,3,8,0.04777777777777778,0.9522222222222222,0.0,0.0,1009.573302207647,0.023485600017011166,2034,development,59,59
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1007.689793303469,64.69791616673213,46.369345069302604,8,5,3,8,0.09888888888888889,0.9011111111111111,0.0,0.0,1008.6428972760167,0.03182230005040765,2034,development,59,59
average,900,1.0,0.1191379965684705,1.0,2.0,1176.0638355501533,65.44198391283132,45.842131008680894,2,2,0,1,0.0,1.0,0.0,0.0,1176.3021115432903,0.06758809997700155,2035,development,57,57
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1422.6175796173682,79.16144850749525,37.8972347848835,33,17,16,33,0.4211111111111111,0.5788888888888889,0.0,0.0,1426.5491335041277,0.07332900003530085,2035,development,57,57
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1172.861038212874,65.26376449523971,45.96731468376781,16,9,7,16,0.12666666666666668,0.8733333333333333,0.0,0.0,1174.7672461579696,0.019259799970313907,2035,development,57,57
sticky,900,1.0,0.1191379965684705,1.0,2.0,1175.131696440954,65.39011510201952,45.8784939485042,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1175.369972434091,0.01822520000860095,2035,development,57,57
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1175.131696440954,65.39011510201952,45.8784939485042,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1175.369972434091,0.020749300019815564,2035,development,57,57
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1174.4776498634571,65.35372072927464,45.90404289952189,8,5,3,8,0.03222222222222222,0.9677777777777777,0.0,0.0,1175.430753836005,0.02414710004813969,2035,development,57,57
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1173.4560436120585,65.29687352604607,45.94400678010004,8,5,3,8,0.08,0.92,0.0,0.0,1174.4091475846062,0.029352399986237288,2035,development,57,57
