scenario_id,month,local_seed,policy,first_boundary_gain_h,second_boundary_gain_h
heterogeneity_gp_re_increased_perm_3,2025-09,10,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,11,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,14,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,15,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,18,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-10,0,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-10,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-10,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-10,3,guarded_blend,0.0,0.0
