strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1198.2600358140814,66.90848362859309,44.83736347475599,18,10,8,17,0.07444444444444444,0.9255555555555556,0.0,0.0,1200.404519752314,0.0523475999943912,3027,stack_2,326,100.33255251569426,True,0.0,0,2,0.9703832752613241,764.9670897857061,778.2602198070731,13.293130021367006,1.7377388124096838
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1196.4523308177684,66.80754493704359,44.90510769145991,16,9,7,16,0.18222222222222223,0.8177777777777778,0.0,0.0,1198.3585387628639,0.05726370005868375,3027,stack_2,326,100.33255251569426,True,0.0,0,0,0.8797909407665505,764.5002268896698,777.2579796817281,12.75775279205834,1.6687703081479377
average,900,1.0,0.1191379965684705,1.0,2.0,1220.127544756677,68.12952231832102,44.03377416890018,4,3,1,2,0.0,1.0,0.0,0.0,1220.604096742951,0.18376170005649328,3027,stack_3,326,100.33255251569426,True,0.0,0,2,1.0,766.2802406675464,798.8490059769669,32.56876530942043,4.250242089114553
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1410.63646864047,78.76716592972608,38.08693590266453,25,13,12,24,0.4444444444444444,0.5555555555555556,0.0,0.0,1413.6149185546817,0.2070478000678122,3027,stack_3,326,100.33255251569426,True,0.0,0,2,0.5313588850174216,905.7438904114864,909.2599373408927,3.5160469294063432,0.38819438548010066
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1212.0147980631102,67.67652249932877,44.328518801032615,20,11,9,19,0.1922222222222222,0.8077777777777778,0.0,0.0,1214.3975579944797,0.049917199881747365,3027,stack_3,326,100.33255251569426,True,0.0,0,2,0.8797909407665505,764.0734957428125,792.9963564684788,28.922860725666283,3.785350609177751
sticky,900,1.0,0.1191379965684705,1.0,2.0,1215.1756292030589,67.85301709337264,44.21321451147404,4,3,1,3,0.02666666666666667,0.9733333333333334,0.0,0.0,1215.6521811893329,0.050098299980163574,3027,stack_3,326,100.33255251569426,True,0.0,0,2,1.0,765.0671465007024,794.0769987792556,29.00985227855324,3.7918047339033922
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1215.1756292030589,67.85301709337264,44.21321451147404,4,3,1,3,0.02666666666666667,0.9733333333333334,0.0,0.0,1215.6521811893329,0.05158099997788668,3027,stack_3,326,100.33255251569426,True,0.0,0,2,1.0,765.0671465007024,794.0769987792556,29.00985227855324,3.7918047339033922
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1213.9060134544563,67.78212424708634,44.2594568010895,16,9,7,15,0.06777777777777778,0.9322222222222222,0.0,0.0,1215.8122213995518,0.05538240005262196,3027,stack_3,326,100.33255251569426,True,0.0,0,2,0.980836236933798,764.9670897857061,793.9061974474433,28.93910766173724,3.7830526369237782
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1212.3680324239783,67.69624641128844,44.315603287270974,16,9,7,15,0.16666666666666666,0.8333333333333334,0.0,0.0,1214.2742403690738,0.059819500194862485,3027,stack_3,326,100.33255251569426,True,0.0,0,2,0.9041811846689896,764.5002268896698,793.2168951730794,28.716668283409604,3.756266809787867
average,900,1.0,0.1191379965684705,1.0,2.0,983.0885937483541,64.55713591573151,46.470463062611685,2,2,0,1,0.0,1.0,0.0,0.0,983.3268697414911,0.19618299999274313,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,494.83289977948897,494.83289977948897,0.0,0.0
