policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,local_seed,simulation_seed
order_blend_75,order_blend_75,True,True,399.0,1390.0,991.0,15.665994988761073,6.781539749489781,1390.0,25.89390622894425,2.1716796436998074,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1390.0,399.0,7.184532461115063,9.35621210481487,9.353161663014316,reference,8,8
order_blend_90,order_blend_90,True,True,399.0,1390.0,991.0,15.665994988761073,6.781539749489781,1390.0,25.89390622894425,2.1716796436998074,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1390.0,399.0,7.184532461115063,9.35621210481487,9.353161663014316,reference,8,8
order_blend_99,order_blend_99,True,True,399.0,1390.0,991.0,15.665994988761073,6.781539749489781,1390.0,25.89390622894425,2.1716796436998074,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1390.0,399.0,7.184532461115063,9.35621210481487,9.353161663014316,reference,8,8
fixed_pair,fixed_pair,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,reference,9,9
order_blend_25,order_blend_25,True,True,1280.0,1288.0,8.0,26.022615073047298,2.014548539794178,1288.0,26.199852555739735,1.9856426331735744,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1280.0,1288.0,7.417964330807145,9.40360696398072,9.378281260951871,reference,9,9
order_blend_50,order_blend_50,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,reference,9,9
order_blend_75,order_blend_75,True,True,277.0,1288.0,1011.0,15.630313229262097,6.817232697158956,1288.0,26.14414103312358,1.955045114409879,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1288.0,277.0,7.417964330807145,9.373009445217024,9.353167257099415,reference,9,9
order_blend_90,order_blend_90,True,True,277.0,1288.0,1011.0,15.630313229262097,6.817232697158956,1288.0,26.14414103312358,1.955045114409879,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1288.0,277.0,7.417964330807145,9.373009445217024,9.353167257099415,reference,9,9
order_blend_99,order_blend_99,True,True,277.0,1288.0,1011.0,15.630313229262097,6.817232697158956,1288.0,26.14414103312358,1.955045114409879,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1288.0,277.0,7.417964330807145,9.373009445217024,9.353167257099415,reference,9,9
fixed_pair,fixed_pair,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634,reference,10,10
