i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.90581e-07,0.00206,0.04103
1.90581e-07,0.00207,0.04103
1.90581e-07,0.00207,0.04103
1.90581e-07,0.00207,0.04103
1.90581e-07,0.00207,0.04102
1.90581e-07,0.00207,0.04102
1.90581e-07,0.00207,0.04102
1.90581e-07,0.00207,0.04103
1.9057999999999998e-07,0.00207,0.04103
1.90579e-07,0.00207,0.04103
1.9057999999999998e-07,0.00207,0.04103
1.90579e-07,0.00207,0.04103
1.90579e-07,0.00207,0.04103
1.90579e-07,0.00207,0.04103
1.9057999999999998e-07,0.00207,0.04102
1.9057999999999998e-07,0.00207,0.04102
1.9057999999999998e-07,0.00207,0.04102
1.9057999999999998e-07,0.00207,0.04102
1.9057999999999998e-07,0.00207,0.04102
1.9057999999999998e-07,0.00207,0.04102
1.90579e-07,0.00207,0.04102
1.90579e-07,0.00207,0.04102
1.90579e-07,0.00207,0.04102
1.90579e-07,0.00207,0.04103
1.90579e-07,0.00207,0.04102
1.90578e-07,0.00207,0.04102
1.90578e-07,0.00207,0.04102
1.90577e-07,0.00207,0.04103
1.90577e-07,0.00207,0.04103
1.90577e-07,0.00207,0.04103
1.9057599999999997e-07,0.00207,0.04103
1.90575e-07,0.00207,0.04104
1.90575e-07,0.00207,0.04104
1.90575e-07,0.00207,0.04104
1.90575e-07,0.00207,0.04104
1.90575e-07,0.00207,0.04104
1.90574e-07,0.00207,0.04104
1.90574e-07,0.00207,0.04104
1.90574e-07,0.00207,0.04104
1.90573e-07,0.00207,0.04104
1.90573e-07,0.00208,0.04104
1.90574e-07,0.00208,0.04104
1.90572e-07,0.00208,0.04105
1.90573e-07,0.00208,0.04104
1.90573e-07,0.00208,0.04104
1.90573e-07,0.00208,0.04104
1.90572e-07,0.00208,0.04104
1.90572e-07,0.00208,0.04105
1.90572e-07,0.00208,0.04105
1.90571e-07,0.00208,0.04105
1.9057e-07,0.00208,0.04105
1.9057e-07,0.00208,0.04105
1.9057e-07,0.00208,0.04105
1.90569e-07,0.00208,0.04105
1.9057e-07,0.00208,0.04105
1.90569e-07,0.00208,0.04105
