load_source,load_seed,continuous_multiplier,start_stop_multiplier,shift_multiplier,reference_strategy,total_damage_pct_delta,total_damage_pct_relative_pct,aged_stack_increment_pct_delta,aged_stack_increment_pct_relative_pct,max_terminal_damage_pct_delta,max_terminal_damage_pct_relative_pct,increment_range_pct_delta,increment_range_pct_relative_pct
zuo_slow_30s,2026,0.5,0.5,0.1,average,-1.2949999999999854e-05,-0.623395378690622,0.0,0.0,0.0,0.0,-1.295000000000007e-05,-1.2171052631579014
zuo_slow_30s,2026,0.5,0.5,0.5,average,-1.2949999999999854e-05,-0.623395378690622,0.0,0.0,0.0,0.0,-1.295000000000007e-05,-1.2171052631579014
zuo_slow_30s,2026,0.5,0.5,1.0,average,-1.2949999999999854e-05,-0.623395378690622,0.0,0.0,0.0,0.0,-1.295000000000007e-05,-1.2171052631579014
zuo_slow_30s,2026,0.5,0.5,2.0,average,-1.2949999999999854e-05,-0.623395378690622,0.0,0.0,0.0,0.0,-1.295000000000007e-05,-1.2171052631579014
zuo_slow_30s,2026,0.5,1.0,0.0,average,-1.294999999999942e-05,-0.3169100252875297,0.0,0.0,0.0,0.0,-1.2949999999999854e-05,-0.6187290969899596
zuo_slow_30s,2026,0.5,1.0,0.1,average,-1.294999999999942e-05,-0.3169100252875297,0.0,0.0,0.0,0.0,-1.2949999999999854e-05,-0.6187290969899596
zuo_slow_30s,2026,0.5,1.0,0.5,average,-1.294999999999942e-05,-0.3169100252875297,0.0,0.0,0.0,0.0,-1.2949999999999854e-05,-0.6187290969899596
zuo_slow_30s,2026,0.5,1.0,1.0,average,-1.294999999999942e-05,-0.3169100252875297,0.0,0.0,0.0,0.0,-1.2949999999999854e-05,-0.6187290969899596
zuo_slow_30s,2026,0.5,1.0,2.0,average,-1.294999999999942e-05,-0.3169100252875297,0.0,0.0,0.0,0.0,-1.2949999999999854e-05,-0.6187290969899596
zuo_slow_30s,2026,0.5,2.0,0.0,average,-1.294999999999942e-05,-0.1597910582815706,0.0,0.0,0.0,0.0,-1.2950000000000288e-05,-0.31197301854975396
zuo_slow_30s,2026,0.5,2.0,0.1,average,-1.294999999999942e-05,-0.1597910582815706,0.0,0.0,0.0,0.0,-1.2950000000000288e-05,-0.31197301854975396
zuo_slow_30s,2026,0.5,2.0,0.5,average,-1.294999999999942e-05,-0.1597910582815706,0.0,0.0,0.0,0.0,-1.2950000000000288e-05,-0.31197301854975396
zuo_slow_30s,2026,0.5,2.0,1.0,average,-1.294999999999942e-05,-0.1597910582815706,0.0,0.0,0.0,0.0,-1.2950000000000288e-05,-0.31197301854975396
zuo_slow_30s,2026,0.5,2.0,2.0,average,-1.294999999999942e-05,-0.1597910582815706,0.0,0.0,0.0,0.0,-1.2950000000000288e-05,-0.31197301854975396
zuo_slow_30s,2026,1.0,0.0,0.0,average,-2.589999999999998e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
zuo_slow_30s,2026,1.0,0.0,0.1,average,-2.589999999999998e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
zuo_slow_30s,2026,1.0,0.0,0.5,average,-2.589999999999998e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
zuo_slow_30s,2026,1.0,0.0,1.0,average,-2.589999999999998e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
zuo_slow_30s,2026,1.0,0.0,2.0,average,-2.589999999999998e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
zuo_slow_30s,2026,1.0,0.1,0.0,average,-2.590000000000014e-05,-4.809954190912493,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
zuo_slow_30s,2026,1.0,0.1,0.1,average,-2.590000000000014e-05,-4.809954190912493,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
zuo_slow_30s,2026,1.0,0.1,0.5,average,-2.590000000000014e-05,-4.809954190912493,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
zuo_slow_30s,2026,1.0,0.1,1.0,average,-2.590000000000014e-05,-4.809954190912493,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
zuo_slow_30s,2026,1.0,0.1,2.0,average,-2.590000000000014e-05,-4.809954190912493,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
zuo_slow_30s,2026,1.0,0.5,0.0,average,-2.5899999999999708e-05,-1.2070840453627332,0.0,0.0,0.0,0.0,-2.5899999999999925e-05,-2.3566878980891652
