load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
synthetic_event_markov,2.0,0.25,0.5,10,-3.31738333333333e-05,3.4729792228922064e-05,-2.366204315353202,0.8
real_block_bootstrap,2.0,0.25,1.0,10,-0.00017475533333333328,0.00012281537607206376,-11.664278296269634,0.8
synthetic_event_markov,2.0,0.25,1.0,10,-5.570783333333346e-05,6.202584064201743e-05,-3.37017093289075,0.8
real_block_bootstrap,2.0,0.25,2.0,10,-0.00028742533333333333,0.00015719583519792598,-14.865857874992056,0.8
synthetic_event_markov,2.0,0.25,2.0,10,-0.00010077583333333326,0.00011687685373653852,-4.603050441563605,0.8
real_block_bootstrap,2.0,0.25,4.0,10,-0.0005127653333333336,0.0002569960808698342,-18.211524809032696,0.8
synthetic_event_markov,2.0,0.25,4.0,10,-0.00019091183333333334,0.00022673727443605986,-5.656869681671995,0.8
real_block_bootstrap,2.0,0.5,0.25,10,-0.00014415283333333342,0.00021711929431885425,-6.534029498090457,0.8
synthetic_event_markov,2.0,0.5,0.25,10,-2.190683333333338e-05,2.1260242071784462e-05,-0.948004252397267,0.8
real_block_bootstrap,2.0,0.5,0.5,10,-0.0001723203333333335,0.00021663689932916374,-7.536363123655896,0.8
synthetic_event_markov,2.0,0.5,0.5,10,-3.31738333333333e-05,3.472979222892202e-05,-1.3659082892749197,0.8
real_block_bootstrap,2.0,0.5,1.0,10,-0.00022865533333333345,0.00021884521175371163,-9.242042573991611,0.8
synthetic_event_markov,2.0,0.5,1.0,10,-5.5707833333333525e-05,6.202584064201739e-05,-2.0845248625078563,0.8
real_block_bootstrap,2.0,0.5,2.0,10,-0.00034132533333333344,0.00023523869699406782,-11.81426703774415,0.8
synthetic_event_markov,2.0,0.5,2.0,10,-0.00010077583333333346,0.0001168768537365385,-3.168412747777265,0.8
real_block_bootstrap,2.0,0.5,4.0,10,-0.0005666653333333334,0.00030382216385004804,-15.076036638167489,0.8
synthetic_event_markov,2.0,0.5,4.0,10,-0.00019091183333333345,0.00022673727443606003,-4.475956042401123,0.8
