boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,8,2056.0,1287.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,9,1886.0,950.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,10,1927.0,949.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,11,2103.0,666.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,12,1757.0,952.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,13,2237.0,1229.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,14,2333.0,599.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,15,2445.0,919.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,16,2450.0,663.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,17,1783.0,708.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,18,2213.0,868.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,19,2018.0,864.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,0,1161.0,593.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,1,666.0,846.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,2,831.0,987.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,3,1325.0,557.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,4,1208.0,760.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,5,1096.0,813.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,6,1113.0,808.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,7,974.0,772.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,8,1197.0,706.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,9,1436.0,513.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,10,1200.0,541.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,11,1260.0,494.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,12,1249.0,490.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,13,743.0,646.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,14,606.0,780.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,15,696.0,995.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,16,1362.0,618.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,17,624.0,782.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,18,1316.0,794.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,reference,order_blend_50,19,1183.0,734.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,0,675.0,-11.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,1,992.0,208.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,2,535.0,-131.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,3,970.0,217.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,4,610.0,-161.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,5,786.0,96.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,6,669.0,12.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,7,824.0,45.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,8,694.0,-78.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,9,661.0,28.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,10,545.0,-30.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,11,837.0,214.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,12,621.0,-137.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,13,985.0,98.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,14,735.0,96.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,15,1012.0,171.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,16,654.0,18.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,17,771.0,166.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,18,665.0,-83.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_2,order_blend_50,19,458.0,-289.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,0,2502.0,1076.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,1,2702.0,957.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,2,2001.0,391.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,3,2193.0,1171.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,4,2234.0,870.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,5,2060.0,1134.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,6,2631.0,1003.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,7,2305.0,529.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,8,2317.0,1440.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,9,2088.0,955.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,10,2115.0,924.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,11,2285.0,854.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,12,1836.0,1073.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,13,2348.0,1291.0
